Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2014-08-20, 100.44, 101.09, 99.95, 100.57, 52699000, 97.33,,
2014-08-19, 99.41, 100.68, 99.32, 100.53, 69399000, 97.30,,
2014-08-18, 98.49, 99.37, 97.98, 99.16, 47572000, 95.97,,
2014-08-15, 97.90, 98.19, 96.86, 97.98, 48951000, 94.83,,
2014-08-14, 97.33, 97.57, 96.80, 97.50, 28116000, 94.36,,
2014-08-13, 96.15, 97.24, 96.04, 97.24, 31916000, 94.11,,
2014-08-12, 96.04, 96.88, 95.61, 95.97, 33795000, 92.88,,
2014-08-11, 95.27, 96.08, 94.84, 95.99, 36585000, 92.90,,
2014-08-08, 94.26, 94.82, 93.28, 94.74, 41865000, 91.69,,
2014-08-07, 94.93, 95.95, 94.10, 94.48, 46711000, 91.44, 0.47, 
2014-08-06, 94.75, 95.48, 94.71, 94.96, 38558000, 91.45,,
2014-08-05, 95.36, 95.68, 94.36, 95.12, 55933000, 91.60,,
2014-08-04, 96.37, 96.58, 95.17, 95.59, 39958000, 92.06,,
2014-08-01, 94.90, 96.62, 94.81, 96.13, 48511000, 92.58,,
2014-07-31, 97.16, 97.45, 95.33, 95.60, 56843000, 92.07,,
2014-07-30, 98.44, 98.70, 97.67, 98.15, 33010000, 94.52,,
2014-07-29, 99.33, 99.44, 98.25, 98.38, 43143000, 94.74,,
2014-07-28, 97.82, 99.24, 97.55, 99.02, 55318000, 95.36,,
2014-07-25, 96.85, 97.84, 96.64, 97.67, 43469000, 94.06,,
2014-07-24, 97.04, 97.32, 96.42, 97.03, 45729000, 93.44,,
2014-07-23, 95.42, 97.88, 95.17, 97.19, 92918000, 93.60,,
2014-07-22, 94.68, 94.89, 94.12, 94.72, 55197000, 91.22,,
2014-07-21, 94.99, 95.00, 93.72, 93.94, 39079000, 90.47,,
2014-07-18, 93.62, 94.74, 93.02, 94.43, 49988000, 90.94,,
2014-07-17, 95.03, 95.28, 92.57, 93.09, 57298000, 89.65,,
2014-07-16, 96.97, 97.10, 94.74, 94.78, 53396300, 91.28,,
2014-07-15, 96.80, 96.85, 95.03, 95.32, 45477900, 91.80,,
2014-07-14, 95.86, 96.89, 95.65, 96.45, 42810000, 92.88,,
2014-07-11, 95.36, 95.89, 94.86, 95.22, 34018000, 91.70,,
2014-07-10, 93.76, 95.55, 93.52, 95.04, 39686000, 91.53,,
2014-07-09, 95.44, 95.95, 94.76, 95.39, 36436000, 91.86,,
2014-07-08, 96.27, 96.80, 93.92, 95.35, 65222000, 91.83,,
2014-07-07, 94.14, 95.99, 94.10, 95.97, 56468000, 92.42,,
2014-07-03, 93.67, 94.10, 93.20, 94.03, 22891800, 90.55,,
2014-07-02, 93.87, 94.06, 93.09, 93.48, 28465000, 90.02,,
2014-07-01, 93.52, 94.07, 93.13, 93.52, 38223000, 90.06,,
2014-06-30, 92.10, 93.73, 92.09, 92.93, 49482300, 89.49,,
2014-06-27, 90.82, 92.00, 90.77, 91.98, 64029000, 88.58,,
2014-06-26, 90.37, 91.05, 89.80, 90.90, 32629000, 87.54,,
2014-06-25, 90.21, 90.70, 89.65, 90.36, 36869000, 87.02,,
2014-06-24, 90.75, 91.74, 90.19, 90.28, 39036000, 86.94,,
2014-06-23, 91.32, 91.62, 90.60, 90.83, 43694000, 87.47,,
2014-06-20, 91.85, 92.55, 90.90, 90.91, 100898000, 87.55,,
2014-06-19, 92.29, 92.30, 91.34, 91.86, 35528000, 88.46,,
2014-06-18, 92.27, 92.29, 91.35, 92.18, 33514000, 88.77,,
2014-06-17, 92.31, 92.70, 91.80, 92.08, 29726000, 88.68,,
2014-06-16, 91.51, 92.75, 91.45, 92.20, 35561000, 88.79,,
2014-06-13, 92.20, 92.44, 90.88, 91.28, 54525000, 87.91,,
2014-06-12, 94.04, 94.12, 91.90, 92.29, 54749000, 88.88,,
2014-06-11, 94.13, 94.76, 93.47, 93.86, 45681000, 90.39,,
2014-06-10, 94.73, 95.05, 93.57, 94.25, 62777000, 90.77,,
2014-06-09, 92.70, 93.88, 91.75, 93.70, 75415000, 90.24,, 7.0
2014-06-06, 649.90, 651.26, 644.47, 645.57, 87484600, 88.82,,
2014-06-05, 646.20, 649.37, 642.61, 647.35, 75951400, 89.06,,
2014-06-04, 637.44, 647.89, 636.11, 644.82, 83870500, 88.71,,
2014-06-03, 628.46, 638.74, 628.25, 637.54, 73177300, 87.71,,
2014-06-02, 633.96, 634.83, 622.50, 628.65, 92337700, 86.49,,
2014-05-30, 637.98, 644.17, 628.90, 633.00, 141005200, 87.09,,
2014-05-29, 627.85, 636.87, 627.77, 635.38, 94118500, 87.41,,
2014-05-28, 626.02, 629.83, 623.78, 624.01, 78870400, 85.85,,
2014-05-27, 615.88, 625.86, 615.63, 625.63, 87216500, 86.07,,
2014-05-23, 607.25, 614.73, 606.47, 614.13, 58052400, 84.49,,
2014-05-22, 606.60, 609.85, 604.10, 607.27, 50190000, 83.55,,
2014-05-21, 603.83, 606.70, 602.06, 606.31, 49214900, 83.41,,
2014-05-20, 604.51, 606.40, 600.73, 604.71, 58709000, 83.19,,
2014-05-19, 597.85, 607.33, 597.33, 604.59, 79438800, 83.18,,
2014-05-16, 588.63, 597.53, 585.40, 597.51, 69064100, 82.20,,
2014-05-15, 594.70, 596.60, 588.04, 588.82, 57711500, 81.01,,
2014-05-14, 592.43, 597.40, 591.74, 593.87, 41601000, 81.70,,
2014-05-13, 592.00, 594.54, 590.70, 593.76, 39934300, 81.69,,
2014-05-12, 587.49, 593.66, 587.40, 592.83, 53302200, 81.56,,
2014-05-09, 584.54, 586.25, 580.33, 585.54, 72899400, 80.56,,
2014-05-08, 588.25, 594.41, 586.40, 587.99, 57574300, 80.89, 0.47, 
2014-05-07, 595.25, 597.29, 587.73, 592.33, 70716100, 81.04,,
2014-05-06, 601.80, 604.41, 594.41, 594.41, 93641100, 81.32,,
2014-05-05, 590.14, 601.00, 590.00, 600.96, 71766800, 82.22,,
2014-05-02, 592.34, 594.20, 589.71, 592.58, 47878600, 81.07,,
2014-05-01, 592.00, 594.80, 586.36, 591.48, 61012000, 80.92,,
2014-04-30, 592.64, 599.43, 589.80, 590.09, 114160200, 80.73,,
2014-04-29, 593.74, 595.98, 589.51, 592.33, 84344400, 81.04,,
2014-04-28, 572.80, 595.75, 572.55, 594.09, 167371400, 81.28,,
2014-04-25, 564.53, 571.99, 563.96, 571.94, 97568800, 78.25,,
2014-04-24, 568.21, 570.00, 560.73, 567.77, 189977900, 77.68,,
2014-04-23, 529.06, 531.13, 524.45, 524.75, 98735000, 71.79,,
2014-04-22, 528.31, 531.83, 526.50, 531.70, 50640800, 72.74,,
2014-04-21, 525.34, 532.14, 523.96, 531.17, 45637200, 72.67,,
2014-04-17, 520.00, 527.76, 519.20, 524.94, 71083600, 71.82,,
2014-04-16, 518.05, 521.09, 514.14, 519.01, 53691400, 71.01,,
2014-04-15, 520.27, 521.64, 511.33, 517.96, 66622500, 70.86,,
2014-04-14, 521.90, 522.16, 517.21, 521.68, 51418500, 71.37,,
2014-04-11, 519.00, 522.83, 517.14, 519.61, 67929400, 71.09,,
2014-04-10, 530.68, 532.24, 523.17, 523.48, 59913000, 71.62,,
2014-04-09, 522.64, 530.49, 522.02, 530.32, 51542400, 72.55,,
2014-04-08, 525.19, 526.12, 518.70, 523.44, 60972100, 71.61,,
2014-04-07, 528.02, 530.90, 521.89, 523.47, 72462600, 71.62,,
2014-04-04, 539.81, 540.00, 530.58, 531.82, 68812800, 72.76,,
2014-04-03, 541.39, 542.50, 537.64, 538.79, 40586000, 73.71,,
2014-04-02, 542.38, 543.48, 540.26, 542.55, 45105200, 74.23,,
2014-04-01, 537.76, 541.87, 536.77, 541.65, 50190000, 74.10,,
2014-03-31, 539.23, 540.81, 535.93, 536.74, 42167300, 73.43,,
2014-03-28, 538.32, 538.94, 534.25, 536.86, 50141000, 73.45,,
2014-03-27, 540.02, 541.50, 535.12, 537.46, 55507900, 73.53,,
2014-03-26, 546.52, 549.00, 538.86, 539.78, 74942000, 73.85,,
2014-03-25, 541.50, 545.75, 539.59, 544.99, 70573300, 74.56,,
2014-03-24, 538.42, 540.50, 535.06, 539.19, 88925200, 73.77,,
2014-03-21, 531.93, 533.75, 526.33, 532.87, 93511600, 72.90,,
2014-03-20, 529.89, 532.67, 527.35, 528.70, 52099600, 72.33,,
2014-03-19, 532.26, 536.24, 529.00, 531.26, 56189000, 72.68,,
2014-03-18, 525.90, 531.97, 525.20, 531.40, 52411800, 72.70,,
2014-03-17, 527.70, 529.97, 525.85, 526.74, 49886200, 72.06,,
2014-03-14, 528.79, 530.89, 523.00, 524.69, 59299800, 71.78,,
2014-03-13, 537.44, 539.66, 529.16, 530.65, 64435700, 72.60,,
2014-03-12, 534.51, 537.35, 532.00, 536.61, 49831600, 73.41,,
2014-03-11, 535.45, 538.74, 532.59, 536.09, 69806100, 73.34,,
2014-03-10, 528.36, 533.33, 528.34, 530.92, 44646000, 72.64,,
2014-03-07, 531.09, 531.98, 526.05, 530.44, 55182400, 72.57,,
2014-03-06, 532.79, 534.44, 528.10, 530.75, 46372200, 72.61,,
2014-03-05, 530.92, 534.75, 529.13, 532.36, 50015700, 72.83,,
2014-03-04, 531.00, 532.64, 527.77, 531.24, 64785000, 72.68,,
2014-03-03, 523.42, 530.65, 522.81, 527.76, 59695300, 72.20,,
2014-02-28, 529.08, 532.75, 522.12, 526.24, 92992200, 72.00,,
2014-02-27, 517.14, 528.78, 516.05, 527.67, 75470500, 72.19,,
2014-02-26, 523.61, 525.00, 515.60, 517.35, 69054300, 70.78,,
2014-02-25, 529.38, 529.57, 521.00, 522.06, 57988000, 71.42,,
2014-02-24, 523.15, 529.92, 522.42, 527.55, 72227400, 72.18,,
2014-02-21, 532.79, 534.57, 524.60, 525.25, 69696200, 71.86,,
2014-02-20, 532.99, 537.00, 529.00, 531.15, 76464500, 72.67,,
2014-02-19, 544.75, 546.89, 534.35, 537.37, 78442000, 73.52,,
2014-02-18, 546.00, 551.19, 545.61, 545.99, 65062900, 74.70,,
2014-02-14, 542.47, 545.98, 541.21, 543.99, 68231100, 74.42,,
2014-02-13, 534.66, 544.85, 534.20, 544.43, 76849500, 74.48,,
2014-02-12, 536.95, 539.56, 533.24, 535.92, 77025200, 73.32,,
2014-02-11, 530.61, 537.75, 529.50, 535.96, 70564200, 73.33,,
2014-02-10, 518.66, 531.99, 518.00, 528.99, 86389800, 72.37,,
2014-02-07, 521.38, 522.93, 517.38, 519.68, 92570100, 71.10,,
2014-02-06, 510.06, 513.50, 507.81, 512.51, 64441300, 70.12, 0.43571, 
2014-02-05, 506.56, 515.28, 506.25, 512.59, 82086200, 69.71,,
2014-02-04, 505.85, 509.46, 502.76, 508.79, 94170300, 69.19,,
2014-02-03, 502.61, 507.73, 499.30, 501.53, 100366000, 68.21,,
2014-01-31, 495.18, 501.53, 493.55, 500.60, 116199300, 68.08,,
2014-01-30, 502.54, 506.50, 496.70, 499.78, 169625400, 67.97,,
2014-01-29, 503.95, 507.37, 498.62, 500.75, 125702500, 68.10,,
2014-01-28, 508.76, 515.00, 502.07, 506.50, 266380800, 68.88,,
2014-01-27, 550.07, 554.80, 545.75, 550.50, 138719700, 74.87,,
2014-01-24, 554.00, 555.62, 544.75, 546.07, 107338700, 74.26,,
2014-01-23, 549.94, 556.50, 544.81, 556.18, 100809800, 75.64,,
2014-01-22, 550.91, 557.29, 547.81, 551.51, 94996300, 75.00,,
2014-01-21, 540.99, 550.07, 540.42, 549.07, 82131700, 74.67,,
2014-01-17, 551.48, 552.07, 539.90, 540.67, 106684900, 73.53,,
2014-01-16, 554.90, 556.85, 551.68, 554.25, 57319500, 75.38,,
2014-01-15, 553.52, 560.20, 551.66, 557.36, 97909700, 75.80,,
2014-01-14, 538.22, 546.73, 537.66, 546.39, 83140400, 74.31,,
2014-01-13, 529.91, 542.50, 529.88, 535.73, 94623200, 72.86,,
2014-01-10, 539.83, 540.80, 531.11, 532.94, 76244000, 72.48,,
2014-01-09, 546.80, 546.86, 535.35, 536.52, 69787200, 72.97,,
2014-01-08, 538.81, 545.56, 538.69, 543.46, 64632400, 73.91,,
2014-01-07, 544.32, 545.96, 537.92, 540.04, 79302300, 73.44,,
2014-01-06, 537.45, 546.80, 533.60, 543.93, 103152700, 73.97,,
2014-01-03, 552.86, 553.70, 540.43, 540.98, 98116900, 73.57,,
2014-01-02, 555.68, 557.03, 552.02, 553.13, 58671200, 75.22,,
2013-12-31, 554.17, 561.28, 554.00, 561.02, 55771100, 76.30,,
2013-12-30, 557.46, 560.09, 552.32, 554.52, 63407400, 75.41,,
2013-12-27, 563.82, 564.41, 559.50, 560.09, 56471100, 76.17,,
2013-12-26, 568.10, 569.50, 563.38, 563.90, 51002000, 76.69,,
2013-12-24, 569.89, 571.88, 566.03, 567.67, 41888700, 77.20,,
2013-12-23, 568.00, 570.72, 562.76, 570.09, 125326600, 77.53,,
2013-12-20, 545.43, 551.61, 544.82, 549.02, 109103400, 74.67,,
2013-12-19, 549.50, 550.00, 543.73, 544.46, 80077200, 74.05,,
2013-12-18, 549.70, 551.45, 538.80, 550.77, 141465800, 74.90,,
2013-12-17, 555.81, 559.44, 553.38, 554.99, 57475600, 75.48,,
2013-12-16, 555.02, 562.64, 555.01, 557.50, 70648200, 75.82,,
2013-12-13, 562.85, 562.88, 553.67, 554.43, 83205500, 75.40,,
2013-12-12, 562.14, 565.34, 560.03, 560.54, 65572500, 76.23,,
2013-12-11, 567.00, 570.97, 559.69, 561.36, 89929700, 76.34,,
2013-12-10, 563.58, 567.88, 561.20, 565.55, 69567400, 76.91,,
2013-12-09, 560.90, 569.58, 560.90, 566.43, 80123400, 77.03,,
2013-12-06, 565.79, 566.75, 559.57, 560.02, 86088100, 76.16,,
2013-12-05, 572.65, 575.14, 566.41, 567.90, 111895000, 77.23,,
2013-12-04, 565.50, 569.19, 560.82, 565.00, 94452400, 76.84,,
2013-12-03, 558.30, 566.38, 557.68, 566.32, 112742000, 77.02,,
2013-12-02, 558.00, 564.33, 550.82, 551.23, 118136200, 74.97,,
2013-11-29, 549.48, 558.33, 547.81, 556.07, 79531900, 75.62,,
2013-11-27, 536.31, 546.00, 533.40, 545.96, 90862100, 74.25,,
2013-11-26, 524.12, 536.14, 524.00, 533.40, 100345700, 72.54,,
2013-11-25, 521.02, 525.87, 521.00, 523.74, 57327900, 71.23,,
2013-11-22, 519.52, 522.16, 518.53, 519.80, 55931400, 70.69,,
2013-11-21, 517.60, 521.21, 513.67, 521.14, 65506700, 70.87,,
2013-11-20, 519.23, 520.42, 514.33, 515.00, 48479200, 70.04,,
2013-11-19, 519.03, 523.38, 517.97, 519.55, 52234700, 70.66,,
2013-11-18, 524.99, 527.19, 518.20, 518.63, 61236000, 70.53,,
2013-11-15, 526.58, 529.09, 524.49, 524.99, 79480100, 71.40,,
2013-11-14, 522.81, 529.28, 521.87, 528.16, 70604800, 71.83,,
2013-11-13, 518.00, 522.25, 516.96, 520.63, 49305200, 70.80,,
2013-11-12, 517.67, 523.92, 517.00, 520.01, 51069200, 70.72,,
2013-11-11, 519.99, 521.67, 514.41, 519.05, 56863100, 70.59,,
2013-11-08, 514.58, 521.13, 512.59, 520.56, 69829200, 70.80,,
2013-11-07, 519.58, 523.19, 512.38, 512.49, 65655100, 69.70,,
2013-11-06, 524.15, 524.86, 518.20, 520.92, 55843900, 70.84, 0.43571, 
2013-11-05, 524.58, 528.89, 523.00, 525.45, 66303300, 71.05,,
2013-11-04, 521.10, 526.82, 518.81, 526.75, 61156900, 71.22,,
2013-11-01, 524.02, 524.80, 515.84, 520.03, 68722500, 70.31,,
2013-10-31, 525.00, 527.49, 521.27, 522.70, 68924100, 70.67,,
2013-10-30, 519.61, 527.52, 517.02, 524.90, 88540900, 70.97,,
2013-10-29, 536.27, 539.25, 514.54, 516.68, 158951800, 69.86,,
2013-10-28, 529.04, 531.00, 523.21, 529.88, 137610200, 71.64,,
2013-10-25, 531.32, 533.23, 525.11, 525.96, 84448000, 71.11,,
2013-10-24, 525.00, 532.47, 522.45, 531.91, 96191200, 71.92,,
2013-10-23, 519.00, 525.67, 519.00, 524.96, 78430800, 70.98,,
2013-10-22, 526.41, 528.45, 508.03, 519.87, 133515900, 70.29,,
2013-10-21, 511.77, 524.30, 511.52, 521.36, 99526700, 70.49,,
2013-10-18, 505.99, 509.26, 505.71, 508.89, 72635500, 68.81,,
2013-10-17, 499.98, 504.78, 499.68, 504.50, 63398300, 68.21,,
2013-10-16, 500.79, 502.53, 499.23, 501.11, 62775300, 67.75,,
2013-10-15, 497.51, 502.00, 495.52, 498.68, 80018400, 67.43,,
2013-10-14, 489.83, 497.58, 489.35, 496.04, 65474500, 67.07,,
2013-10-11, 486.99, 493.84, 485.16, 492.81, 66934700, 66.63,,
2013-10-10, 491.32, 492.38, 487.04, 489.64, 69650700, 66.20,,
2013-10-09, 484.64, 487.79, 478.28, 486.59, 75431300, 65.79,,
2013-10-08, 489.94, 490.64, 480.54, 480.94, 72729300, 65.03,,
2013-10-07, 486.56, 492.65, 485.35, 487.75, 78073100, 65.95,,
2013-10-04, 483.86, 484.60, 478.60, 483.03, 64717100, 65.31,,
2013-10-03, 490.51, 492.35, 480.74, 483.41, 80688300, 65.36,,
2013-10-02, 485.63, 491.80, 483.75, 489.56, 72296000, 66.19,,
2013-10-01, 478.45, 489.14, 478.38, 487.96, 88470900, 65.98,,
2013-09-30, 477.25, 481.66, 474.41, 476.75, 65039100, 64.46,,
2013-09-27, 483.78, 484.67, 480.72, 482.75, 57010100, 65.27,,
2013-09-26, 486.00, 488.56, 483.90, 486.22, 59305400, 65.74,,
2013-09-25, 489.20, 489.64, 481.43, 481.53, 79239300, 65.11,,
2013-09-24, 494.88, 495.47, 487.82, 489.10, 91086100, 66.13,,
2013-09-23, 496.10, 496.91, 482.60, 490.64, 190526700, 66.34,,
2013-09-20, 478.00, 478.55, 466.00, 467.41, 174825700, 63.20,,
2013-09-19, 470.70, 475.83, 469.25, 472.30, 101135300, 63.86,,
2013-09-18, 463.18, 466.35, 460.66, 464.68, 114215500, 62.83,,
2013-09-17, 447.96, 459.71, 447.50, 455.32, 99845200, 61.56,,
2013-09-16, 461.00, 461.61, 447.22, 450.12, 135926700, 60.86,,
2013-09-13, 469.34, 471.83, 464.70, 464.90, 74708900, 62.86,,
2013-09-12, 468.50, 475.40, 466.01, 472.69, 101012800, 63.91,,
2013-09-11, 467.01, 473.69, 464.81, 467.71, 224674100, 63.24,,
2013-09-10, 506.20, 507.45, 489.50, 494.64, 185798900, 66.88,,
2013-09-09, 505.00, 507.92, 503.48, 506.17, 85171800, 68.44,,
2013-09-06, 498.44, 499.38, 489.95, 498.22, 89881400, 67.36,,
2013-09-05, 500.25, 500.68, 493.64, 495.27, 59091900, 66.96,,
2013-09-04, 499.56, 502.24, 496.28, 498.69, 86258200, 67.43,,
2013-09-03, 493.10, 500.60, 487.35, 488.58, 82982200, 66.06,,
2013-08-30, 492.00, 492.95, 486.50, 487.22, 68074300, 65.88,,
2013-08-29, 491.65, 496.50, 491.13, 491.70, 59914400, 66.48,,
2013-08-28, 486.00, 495.80, 486.00, 490.90, 76902000, 66.37,,
2013-08-27, 498.00, 502.51, 486.30, 488.59, 106047200, 66.06,,
2013-08-26, 500.75, 510.20, 500.50, 502.97, 82741400, 68.01,,
2013-08-23, 503.27, 503.35, 499.35, 501.02, 55682900, 67.74,,
2013-08-22, 504.98, 505.59, 498.20, 502.96, 61051900, 68.00,,
2013-08-21, 503.59, 507.15, 501.20, 502.36, 83969900, 67.92,,
2013-08-20, 509.71, 510.57, 500.82, 501.07, 89672100, 67.75,,
2013-08-19, 504.34, 513.74, 504.00, 507.74, 127629600, 68.65,,
2013-08-16, 500.15, 502.94, 498.86, 502.33, 90576500, 67.92,,
2013-08-15, 496.42, 502.40, 489.08, 497.91, 122573500, 67.32,,
2013-08-14, 497.88, 504.25, 493.40, 498.50, 189093100, 67.40,,
2013-08-13, 470.94, 494.66, 468.05, 489.57, 220485300, 66.19,,
2013-08-12, 456.86, 468.65, 456.63, 467.36, 91108500, 63.19,,
2013-08-09, 458.64, 460.46, 453.65, 454.45, 66716300, 61.45,,
2013-08-08, 463.86, 464.10, 457.95, 461.01, 63944300, 62.33, 0.43571, 
2013-08-07, 463.80, 467.00, 461.77, 464.98, 74714500, 62.46,,
2013-08-06, 468.02, 471.89, 462.17, 465.25, 83714400, 62.49,,
2013-08-05, 464.69, 470.67, 462.15, 469.45, 79713900, 63.06,,
2013-08-02, 458.01, 462.85, 456.66, 462.54, 68695900, 62.13,,
2013-08-01, 455.75, 456.80, 453.26, 456.68, 51562700, 61.34,,
2013-07-31, 454.99, 457.34, 449.43, 452.53, 80739400, 60.78,,
2013-07-30, 449.96, 457.15, 449.23, 453.32, 77355600, 60.89,,
2013-07-29, 440.80, 449.99, 440.20, 447.79, 62014400, 60.15,,
2013-07-26, 435.30, 441.04, 434.34, 440.99, 50038100, 59.23,,
2013-07-25, 440.70, 441.40, 435.81, 438.50, 57373400, 58.90,,
2013-07-24, 438.93, 444.59, 435.26, 440.51, 147984200, 59.17,,
2013-07-23, 426.00, 426.96, 418.71, 418.99, 92348900, 56.28,,
2013-07-22, 429.46, 429.75, 425.47, 426.31, 51949100, 57.26,,
2013-07-19, 433.10, 433.98, 424.35, 424.95, 67180400, 57.08,,
2013-07-18, 433.38, 434.87, 430.61, 431.76, 54719700, 57.99,,
2013-07-17, 429.70, 432.22, 428.22, 430.31, 49747600, 57.80,,
2013-07-16, 426.52, 430.71, 424.17, 430.20, 54134500, 57.79,,
2013-07-15, 425.01, 431.46, 424.80, 427.44, 60479300, 57.41,,
2013-07-12, 427.65, 429.79, 423.41, 426.51, 69890800, 57.29,,
2013-07-11, 422.95, 428.25, 421.17, 427.29, 81573100, 57.39,,
2013-07-10, 419.60, 424.80, 418.25, 420.73, 70351400, 56.51,,
2013-07-09, 413.60, 423.50, 410.38, 422.35, 88146100, 56.73,,
2013-07-08, 420.11, 421.00, 410.65, 415.05, 74534600, 55.75,,
2013-07-05, 420.39, 423.29, 415.35, 417.42, 68506200, 56.07,,
2013-07-03, 420.86, 422.98, 417.45, 420.80, 60232200, 56.52,,
2013-07-02, 409.96, 421.63, 409.47, 418.49, 117466300, 56.21,,
2013-07-01, 402.69, 412.27, 401.22, 409.22, 97763400, 54.97,,
2013-06-28, 391.36, 400.27, 388.87, 396.53, 144629100, 53.26,,
2013-06-27, 399.25, 401.39, 393.54, 393.78, 84311500, 52.89,,
2013-06-26, 403.90, 404.79, 395.66, 398.07, 91931000, 53.47,,
2013-06-25, 405.70, 407.79, 398.83, 402.63, 78540700, 54.08,,
2013-06-24, 407.40, 408.66, 398.05, 402.54, 120186500, 54.07,,
2013-06-21, 418.49, 420.00, 408.10, 413.50, 120279600, 55.54,,
2013-06-20, 419.30, 425.98, 415.17, 416.84, 89327700, 55.99,,
2013-06-19, 431.40, 431.66, 423.00, 423.00, 77735000, 56.82,,
2013-06-18, 431.56, 434.90, 430.21, 431.77, 48756400, 58.00,,
2013-06-17, 431.44, 435.70, 430.36, 432.00, 64853600, 58.03,,
2013-06-14, 435.40, 436.29, 428.50, 430.05, 67966500, 57.77,,
2013-06-13, 432.50, 437.14, 428.75, 435.96, 71458100, 58.56,,
2013-06-12, 439.50, 441.25, 431.50, 432.19, 66306800, 58.05,,
2013-06-11, 435.74, 442.76, 433.32, 437.60, 71528100, 58.78,,
2013-06-10, 444.73, 449.08, 436.80, 438.89, 112538300, 58.95,,
2013-06-07, 436.50, 443.24, 432.77, 441.81, 101133900, 59.34,,
2013-06-06, 445.47, 447.00, 434.05, 438.46, 104233500, 58.89,,
2013-06-05, 445.65, 450.72, 443.71, 445.11, 72647400, 59.79,,
2013-06-04, 453.22, 454.43, 447.39, 449.31, 73182200, 60.35,,
2013-06-03, 450.73, 452.36, 442.48, 450.72, 93088100, 60.54,,
2013-05-31, 452.50, 457.10, 449.50, 449.73, 96075700, 60.41,,
2013-05-30, 445.65, 454.50, 444.51, 451.58, 88379900, 60.66,,
2013-05-29, 440.00, 447.50, 439.40, 444.95, 82644100, 59.77,,
2013-05-28, 449.90, 451.11, 440.85, 441.44, 96536300, 59.30,,
